step,train_rmse,oob_rmse,model,val_rmse,train_loss,val_r2
10,0.685007021598895,1.9538835561662788,Random Forest,,,
20,0.6308442089660757,1.647006775735398,Random Forest,,,
30,0.6099221732944908,1.6017342214662054,Random Forest,,,
40,0.6000291143082127,1.5808183812895331,Random Forest,,,
50,0.5939731923607718,1.5701998010666287,Random Forest,,,
60,0.5901800663117182,1.563406789864453,Random Forest,,,
70,0.5879959600425347,1.558931906672818,Random Forest,,,
80,0.5857602321340144,1.5551822517037335,Random Forest,,,
90,0.5836256509890367,1.5518210676129678,Random Forest,,,
100,0.5819901910206154,1.5482164861097123,Random Forest,,,
1,2.1787561714775125,,XGBoost,2.1701635213368027,,
2,1.9126154848151729,,XGBoost,1.9135441117870804,,
3,1.7575830661788083,,XGBoost,1.7681893496075698,,
4,1.6654922469682076,,XGBoost,1.6831135252761473,,
5,1.611457031225137,,XGBoost,1.6341867424143686,,
6,1.5771093130712452,,XGBoost,1.6040187076539714,,
7,1.554310513257567,,XGBoost,1.5855882605195761,,
8,1.5384744846625416,,XGBoost,1.5749041538731152,,
9,1.52534932885719,,XGBoost,1.5659018964544633,,
10,1.5138125826083328,,XGBoost,1.5590257679272592,,
11,1.505460286938504,,XGBoost,1.5535856100285874,,
12,1.4981947054645417,,XGBoost,1.5494203704582925,,
13,1.4924946538421335,,XGBoost,1.5473799606769745,,
14,1.486751393127505,,XGBoost,1.5448633363481108,,
15,1.481660625739349,,XGBoost,1.543001444578067,,
16,1.4778854790452918,,XGBoost,1.5414275099621075,,
17,1.4735051679938778,,XGBoost,1.5396262527302633,,
18,1.4703866328178454,,XGBoost,1.5383609263061382,,
19,1.467884398297749,,XGBoost,1.5372122859493569,,
20,1.4636090583160868,,XGBoost,1.5355211621445968,,
21,1.4607775272438075,,XGBoost,1.533954865798554,,
22,1.4585052057110424,,XGBoost,1.533744801214771,,
23,1.4563413796952174,,XGBoost,1.5326282935253912,,
24,1.4530900568406795,,XGBoost,1.5313645416098334,,
25,1.4504168933541208,,XGBoost,1.530526039338649,,
26,1.4468867388623161,,XGBoost,1.5290965230782645,,
27,1.442930477260976,,XGBoost,1.5266404404005331,,
28,1.440875147406386,,XGBoost,1.5261208640367057,,
29,1.4385221413317966,,XGBoost,1.5247456820836573,,
30,1.4367659315689247,,XGBoost,1.523786378490303,,
31,1.4347834769675105,,XGBoost,1.5235566027319218,,
32,1.431803442505036,,XGBoost,1.522492661808324,,
33,1.4284819352688434,,XGBoost,1.52157077125479,,
34,1.4265707423781921,,XGBoost,1.5206660244231802,,
35,1.4252301098674782,,XGBoost,1.5201679429121118,,
36,1.4212483316160576,,XGBoost,1.5172188172207497,,
37,1.4197907501928577,,XGBoost,1.516553098396553,,
38,1.4187466037164889,,XGBoost,1.5166684472065617,,
39,1.4172839691609889,,XGBoost,1.5165671237818015,,
40,1.4149146278426812,,XGBoost,1.5149223360045148,,
41,1.4123316535814394,,XGBoost,1.5138867085212109,,
42,1.4098013955635207,,XGBoost,1.5135707081719991,,
43,1.408934685041729,,XGBoost,1.5134060251220673,,
44,1.4076432069057563,,XGBoost,1.5126855308396108,,
45,1.4063261105280764,,XGBoost,1.5121484951035689,,
46,1.4054160619366065,,XGBoost,1.511782681390656,,
47,1.4022221274526308,,XGBoost,1.5106518134703508,,
48,1.4013250869147182,,XGBoost,1.5105253411847634,,
49,1.3999600870773103,,XGBoost,1.510337538879611,,
50,1.39933094416523,,XGBoost,1.5102076340261392,,
51,1.397068869138279,,XGBoost,1.5086869598263155,,
52,1.3963523223223695,,XGBoost,1.5084764636824322,,
53,1.3938963632600954,,XGBoost,1.5078158869497382,,
54,1.3913274416297106,,XGBoost,1.5074036357174745,,
55,1.389823791392024,,XGBoost,1.5072498454478669,,
56,1.3889405448653847,,XGBoost,1.5068901978272415,,
57,1.3872840651443483,,XGBoost,1.5065056055663366,,
58,1.3849427772740164,,XGBoost,1.505696392973118,,
59,1.3820939314607676,,XGBoost,1.5052010059125063,,
60,1.3809222895744033,,XGBoost,1.5045772848484347,,
61,1.3801459095771493,,XGBoost,1.504069173513061,,
62,1.378868065848285,,XGBoost,1.5030630973413737,,
63,1.3781783859378878,,XGBoost,1.5030867716492977,,
64,1.3769724163219124,,XGBoost,1.503090131436897,,
65,1.375760088840301,,XGBoost,1.5028067424638736,,
66,1.3752421880914474,,XGBoost,1.5025813702479884,,
67,1.3734781779649972,,XGBoost,1.501693226396884,,
68,1.3711919891670854,,XGBoost,1.501529850544192,,
69,1.3683811838567563,,XGBoost,1.5003548876820478,,
70,1.3665709734678189,,XGBoost,1.5000358599054018,,
71,1.3654085740542221,,XGBoost,1.4992786685452955,,
72,1.3647435084641153,,XGBoost,1.498814857513711,,
73,1.362763561064914,,XGBoost,1.4980483225490577,,
74,1.3608281045608481,,XGBoost,1.4978810140890153,,
75,1.3600966406369992,,XGBoost,1.4976554940487254,,
76,1.3578883040156737,,XGBoost,1.4976806296132743,,
77,1.3558464208453347,,XGBoost,1.4972401818652632,,
78,1.3539567399072647,,XGBoost,1.4970871741298815,,
79,1.3523058461415158,,XGBoost,1.4968820554890667,,
80,1.3501593279499287,,XGBoost,1.496899713676222,,
81,1.348417074190418,,XGBoost,1.496007404822963,,
82,1.3476989941416773,,XGBoost,1.4961257646719865,,
83,1.3461350812503439,,XGBoost,1.4961976172571745,,
84,1.3446901706518912,,XGBoost,1.4963459888848263,,
85,1.3421658274360908,,XGBoost,1.4944780438035277,,
86,1.3416230049482174,,XGBoost,1.4946351412078638,,
87,1.3414068245448443,,XGBoost,1.4946629792693835,,
88,1.3402383664570896,,XGBoost,1.4946282762405214,,
89,1.338811992432684,,XGBoost,1.4938327083815377,,
90,1.3374628100747077,,XGBoost,1.4939828032425218,,
91,1.3358925971496012,,XGBoost,1.4934440174099233,,
92,1.334127865119137,,XGBoost,1.4933078081456892,,
93,1.3326744809171827,,XGBoost,1.4929001403990085,,
94,1.3320049812001895,,XGBoost,1.492687778369832,,
95,1.3304586131714078,,XGBoost,1.4925054227635839,,
96,1.3298551308200763,,XGBoost,1.4923512534769492,,
97,1.3283005746413212,,XGBoost,1.4922735625240153,,
98,1.3273033496670907,,XGBoost,1.4921183306656096,,
99,1.3258725546549583,,XGBoost,1.4917626870568637,,
100,1.324338481524823,,XGBoost,1.4919438159090161,,
1,,,MLP-Shallow,,3.766095424004003,0.48286047109343455
2,,,MLP-Shallow,,1.7067611273160759,0.5878284338997379
3,,,MLP-Shallow,,1.3215703917902126,0.6213447627424782
4,,,MLP-Shallow,,1.260824013498553,0.6210391398109005
5,,,MLP-Shallow,,1.2390001016705718,0.621967670420212
6,,,MLP-Shallow,,1.2291909751030405,0.6228092053699984
7,,,MLP-Shallow,,1.2172982738639178,0.6220137275189914
8,,,MLP-Shallow,,1.2095026654645724,0.6271374653414197
9,,,MLP-Shallow,,1.1990499178097989,0.6258161242285454
10,,,MLP-Shallow,,1.1948804879128871,0.6230088834575987
11,,,MLP-Shallow,,1.1853391360747434,0.6278269444159694
12,,,MLP-Shallow,,1.17468307853803,0.6272850367834468
13,,,MLP-Shallow,,1.168196234814877,0.6276336262539981
14,,,MLP-Shallow,,1.158071979062273,0.6302786504573655
15,,,MLP-Shallow,,1.156025808064405,0.6229734080965827
16,,,MLP-Shallow,,1.1459872423931299,0.6281253223668588
17,,,MLP-Shallow,,1.1440333259844706,0.6252083758494316
18,,,MLP-Shallow,,1.1334610119437905,0.6314666693953982
